"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 1, 7, 0, 2, 0
3, 1, 18, 0, 6, 1
4, 3, 40, 0, 23, 1
5, 3, 27, 0, 11, 1
6, 5, 38, 0, 18, 1
7, 13, 53, 0, 17, 3
8, 11, 47, 0, 13, 3
9, 24, 40, 0, 12, 2
10, 30, 38, 0, 10, 2
11, 70, 39, 0, 10, 2
12, 146, 57, 0, 12, 2
13, 259, 47, 0, 11, 2
14, 597, 50, 0, 10, 3
15, 1296, 56, 0, 14, 3
16, 2708, 63, 0, 11, 3
17, 6722, 62, 0, 9, 3
18, 13191, 76, 0, 11, 3
19, 25777, 122, 0, 17, 4
20, 70916, 73, 0, 11, 4

