"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 1, 0, 0, 0
2, 1, 7, 0, 1, 1
3, 2, 11, 0, 1, 2
4, 3, 14, 1, 1, 3
5, 6, 17, 1, 1, 4
6, 21, 21, 1, 1, 5
7, 66, 39, 2, 1, 16
8, 168, 28, 2, 1, 8
9, 433, 31, 2, 1, 11
10, 1507, 43, 5, 1, 17
11, 5480, 41, 3, 1, 16
12, 21488, 55, 7, 1, 22
13, 71391, 58, 8, 1, 22
14, 303094, 94, 28, 1, 28

