"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 5, 3, 0, 0, 0
2, 4, 20, 1, 0, 8
3, 3, 26, 1, 0, 10
4, 4, 40, 3, 0, 12
5, 11, 74, 2, 0, 25
6, 33, 130, 3, 0, 36
7, 107, 180, 4, 0, 50
8, 396, 325, 7, 0, 79
9, 1447, 440, 13, 0, 115
10, 5001, 681, 21, 0, 175
11, 17714, 1125, 41, 0, 295
12, 85612, 1468, 98, 0, 370

