"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 2, 0, 0, 0, 0
2, 2, 14, 0, 3, 1
3, 3, 28, 0, 11, 1
4, 2, 34, 0, 12, 2
5, 5, 93, 0, 17, 3
6, 8, 125, 0, 19, 4
7, 19, 109, 0, 20, 12
8, 59, 285, 0, 37, 60
9, 359, 619, 0, 30, 430
10, 2432, 3972, 0, 29, 3766
11, 17837, 64863, 0, 38, 40801

