"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 5, 2, 0, 0, 0
2, 2, 14, 0, 3, 2
3, 2, 31, 0, 9, 3
4, 5, 56, 0, 13, 4
5, 19, 125, 0, 16, 7
6, 114, 181, 0, 18, 15
7, 827, 238, 0, 18, 52
8, 6817, 660, 0, 26, 311
9, 58894, 3196, 0, 67, 2693

