"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 4, 0, 0, 0, 0
2, 2, 8, 0, 0, 3
3, 2, 9, 3, 0, 2
4, 2, 7, 1, 0, 3
5, 2, 9, 1, 0, 4
6, 4, 12, 1, 0, 6
7, 6, 16, 2, 0, 8
8, 12, 21, 3, 0, 11
9, 25, 28, 6, 0, 13
10, 54, 40, 15, 0, 17
11, 120, 69, 38, 0, 20
12, 249, 145, 108, 0, 24
13, 555, 362, 318, 0, 28
14, 1263, 1101, 1030, 0, 33
15, 3033, 3221, 3136, 0, 44
16, 7358, 12565, 12468, 0, 51
17, 16627, 45653, 45524, 0, 49
19, 80662, 503205, 502881, 0, 118

