"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 1, 6, 0, 2, 0
3, 1, 17, 0, 6, 1
4, 2, 33, 0, 11, 2
5, 3, 92, 0, 16, 3
6, 6, 134, 0, 17, 5
7, 13, 126, 0, 18, 8
8, 34, 304, 0, 28, 24
9, 120, 356, 0, 26, 90
10, 494, 972, 0, 29, 632
11, 2130, 26357, 0, 29, 5321
12, 9770, 94042, 0, 35, 61760

