"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 2, 0, 0, 0, 0
2, 1, 9, 0, 3, 1
3, 2, 11, 0, 3, 1
4, 3, 17, 0, 3, 3
5, 3, 12, 0, 2, 2
6, 6, 17, 0, 4, 2
7, 9, 16, 0, 1, 2
8, 12, 24, 0, 2, 4
9, 24, 22, 0, 3, 2
10, 41, 24, 0, 3, 3
11, 66, 24, 0, 2, 3
12, 156, 32, 0, 4, 3
13, 331, 38, 0, 7, 3
14, 687, 47, 0, 9, 7
15, 1487, 51, 0, 7, 5
16, 3061, 46, 0, 3, 6
17, 6938, 48, 0, 4, 5
18, 15401, 52, 0, 4, 5
19, 33504, 58, 0, 5, 5
20, 162220, 76, 0, 16, 6

