"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 2, 0, 0, 0, 0
2, 2, 10, 0, 3, 0
3, 2, 24, 0, 10, 2
4, 5, 36, 0, 11, 2
5, 6, 111, 0, 22, 3
6, 15, 159, 0, 29, 4
7, 56, 172, 0, 35, 7
8, 242, 350, 0, 46, 19
9, 1414, 466, 0, 50, 87
10, 9315, 1212, 0, 53, 685

