"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 4, 3, 0, 0, 0
2, 3, 14, 0, 3, 2
3, 5, 25, 0, 9, 2
4, 4, 41, 0, 15, 3
5, 9, 93, 0, 22, 4
6, 18, 154, 0, 19, 5
7, 67, 127, 0, 19, 22
8, 327, 327, 0, 31, 88
9, 2259, 792, 0, 29, 585
10, 15307, 5347, 0, 36, 5087

