"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 3, 3, 0, 0, 0
2, 4, 25, 0, 3, 5
3, 4, 56, 0, 13, 7
4, 5, 80, 0, 17, 10
5, 15, 184, 0, 27, 19
6, 48, 293, 0, 35, 34
7, 178, 468, 0, 39, 79
8, 725, 857, 0, 49, 197
9, 3373, 1893, 0, 54, 1089
10, 18011, 10607, 0, 51, 9428
11, 78570, 139004, 0, 62, 98126

