"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 1, 10, 0, 3, 1
3, 2, 9, 0, 1, 1
4, 2, 12, 1, 1, 2
5, 3, 13, 0, 1, 2
6, 4, 15, 0, 1, 3
7, 7, 17, 1, 1, 4
8, 14, 20, 1, 1, 5
9, 27, 23, 1, 1, 6
10, 59, 25, 1, 1, 7
11, 127, 29, 1, 1, 8
12, 271, 34, 2, 1, 10
13, 602, 37, 2, 1, 11
14, 1373, 42, 2, 1, 14
15, 3157, 47, 3, 1, 14
16, 8564, 52, 4, 1, 16
17, 20181, 68, 6, 1, 23
18, 50372, 157, 20, 21, 29
19, 100655, 89, 15, 3, 23
20, 218483, 132, 23, 1, 64

