"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 2, 0, 0, 0
2, 1, 12, 0, 3, 1
3, 2, 25, 0, 9, 2
4, 2, 44, 0, 22, 1
5, 3, 107, 0, 27, 1
6, 5, 133, 0, 29, 3
7, 7, 114, 0, 30, 10
8, 9, 293, 0, 47, 48
9, 19, 615, 0, 49, 411
10, 34, 3934, 0, 50, 3712
11, 59, 63749, 0, 58, 39815
12, 166, 544352, 0, 107, 459016

