"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
2, 1, 12, 0, 3, 2
3, 3, 19, 0, 6, 1
4, 7, 37, 0, 8, 3
5, 9, 35, 0, 8, 3
6, 9, 49, 0, 14, 4
7, 13, 29, 0, 6, 2
8, 18, 34, 0, 6, 3
9, 36, 32, 0, 5, 3
10, 55, 39, 0, 8, 3
11, 105, 38, 0, 5, 3
12, 208, 46, 0, 8, 4
13, 448, 49, 0, 4, 4
14, 924, 57, 0, 6, 4
15, 1785, 64, 0, 6, 5
16, 4533, 62, 0, 5, 5
17, 9861, 64, 0, 4, 5
18, 20185, 81, 0, 7, 6
19, 43831, 100, 0, 5, 9
20, 137152, 108, 0, 26, 6

