"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 2, 1, 0, 0, 0
2, 1, 6, 1, 0, 1
3, 3, 10, 1, 0, 4
4, 3, 11, 1, 0, 6
5, 5, 16, 2, 0, 9
6, 14, 27, 7, 0, 13
7, 44, 33, 8, 0, 17
8, 123, 55, 24, 0, 22
9, 437, 128, 87, 0, 30
10, 1526, 378, 328, 0, 35
11, 5071, 1347, 1282, 0, 42
12, 18139, 5527, 5439, 0, 50
13, 60102, 29534, 29406, 0, 60
14, 281716, 152083, 151775, 0, 77
