"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 1, 7, 0, 1, 0
3, 1, 9, 0, 1, 1
4, 2, 13, 0, 2, 1
5, 3, 13, 1, 1, 2
6, 5, 16, 1, 2, 2
7, 11, 16, 1, 2, 4
8, 19, 19, 1, 2, 4
9, 43, 20, 1, 1, 5
10, 94, 24, 1, 2, 5
11, 211, 28, 2, 1, 8
12, 462, 32, 2, 2, 8
13, 1131, 60, 6, 2, 18
14, 2484, 39, 3, 2, 10
15, 5736, 45, 5, 1, 13
16, 15208, 56, 5, 3, 14
17, 30965, 76, 9, 1, 23
18, 67544, 64, 9, 2, 17
19, 248437, 117, 26, 15, 21
20, 400316, 149, 17, 2, 20

