"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 2, 1, 0, 0, 0
2, 1, 6, 1, 0, 2
3, 1, 6, 1, 0, 2
4, 2, 7, 1, 0, 3
5, 3, 9, 1, 0, 4
6, 6, 15, 2, 0, 9
7, 9, 16, 3, 0, 8
8, 18, 22, 5, 0, 11
9, 41, 31, 9, 0, 13
10, 90, 47, 19, 0, 17
11, 196, 76, 38, 0, 20
12, 429, 145, 90, 0, 24
13, 991, 318, 235, 0, 28
14, 2545, 787, 619, 0, 51
15, 5818, 1643, 1363, 0, 37
16, 15031, 3583, 3056, 0, 70
17, 28466, 8587, 7617, 0, 52
18, 64204, 18314, 15357, 0, 54
19, 177779, 37828, 32585, 0, 63

