"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 11, 0, 0, 0, 0
2, 3, 33, 0, 20, 0
3, 3, 47, 0, 24, 2
4, 2, 61, 0, 30, 1
5, 7, 150, 0, 48, 3
6, 14, 217, 0, 70, 5
7, 43, 182, 0, 36, 15
8, 194, 413, 0, 44, 80
9, 1207, 1012, 0, 48, 618
10, 7800, 7385, 0, 61, 6608
11, 58016, 113959, 0, 102, 72879

